"","Cftr","Akap7","Zranb1","Krcc1","Mta1","Rps8"
"PAICS",1.04259808679541,0.148518473879891,0.932705505896074,0.900928697800827,-0.605735530445195,1.16111269992338
"PAIP1",0.723951326664225,-0.253572196964838,0.939302878622856,0.215544236607758,-0.232548022404361,-0.0228370304686867
"PAIP2",0.541573163073534,0.547710178505175,-0.118243143702505,1.00775375178317,-0.0396049126919471,1.31770843150545
"PAIP2B",0.927498575495656,-0.274017045148952,1.28378446882332,0.407295515793957,0.172822228701862,0.283755705921127
"PAK1",-1.27958465408195,-0.246249243428051,-1.10510898857748,-1.22767801119631,-0.526729024434938,-1.19340308801089
"PAK1IP1",0.888195101255402,-0.255152860381391,0.940205806696601,0.32711236801763,-0.189341269050261,0.0964018288258884
"PAK2",0.0622535085834882,-0.252793075921008,-0.420394819573926,0.0770415972673422,-0.256102338887476,0.0824937563778419
"PAK4",0.878909998755757,-0.347974678470115,0.981147931368389,0.423848235215314,0.810328896121963,0.218685654699734
"PAM",-1.21229372593365,-0.24600249359985,-1.01153942031947,-1.17502449038866,-0.526264030150294,-1.16029913153069
"PAM16",0.540016318962053,0.147152725773639,-0.147079274121157,0.906960465471976,-0.0157396299814232,1.21101640140945
"PAN3",0.841937907681049,-0.25525330170518,0.940078984100079,0.424333485680701,-0.220813294605279,0.222172171733622
"PANK2",-1.24079431394523,-0.246523210493941,-0.991830926091246,-1.23015049404109,-0.509172926126574,-1.21269591014699
"PANK3",0.866497750716275,-0.267926744565447,0.946979888075562,0.401807821220785,0.0827635354754961,0.17883558317666
"PAOX",0.656087945082549,-0.247066067006187,-0.814555581729204,0.0349516952532569,-0.525522761426251,-0.0234426784365559
"PAPD4",0.679274137036148,-0.258964582974796,0.941875691593472,0.369557422127914,-0.0970572906024286,0.207447047506396
"PAPOLA",-1.19350603766541,-0.246245037714549,-1.00389662288614,-1.31415013454543,-0.540168090771085,-1.20978123749098
"PAPSS1",-0.643340793794109,0.148294826828835,-0.153258095996508,0.72807112696232,-0.249748364646517,1.16187177734718
"PAQR7",0.798921001415308,-0.253942553685624,0.939490750781462,0.378782361249129,-0.252268271099625,0.134373018264633
"PAQR8",-1.24273258527986,-0.246571916191213,-1.06899653672446,-1.19169720184714,-0.52008819790174,-1.18891468650698
"PARD3",0.547322013801759,-0.268872487111125,-0.0635798528183519,0.106662948285376,0.111535961993826,0.151054988077888
