"gene","distance","Z","FC","p.value","p.adj"
"Rpl36",1.79804955925194e-07,1.91076173255154,8.31473097615353,0.0039324828069772,0.172285260273244
"Rpl38",1.79600238600483e-07,1.90964290142536,8.29580824437463,0.00397366910244986,0.172921278256946
"Rps7",1.78946302938595e-07,1.90606170501645,8.23550711501503,0.00410786931288304,0.176837070785696
"Atpif1",1.78896778754249e-07,1.9057900392461,8.23094931943315,0.00411819828634179,0.176837070785696
"Hacd2",1.7876247126274e-07,1.90505297134743,8.21859512063322,0.00414632875746669,0.176873655680355
"Pld4",1.78146343534363e-07,1.90166567215281,8.16203987216325,0.00427762322160827,0.181281757966719
"Sparc",1.77604466986018e-07,1.8986783466753,8.11246162819151,0.00439619877598723,0.185097096516242
"Rpl22l1",1.77235692195112e-07,1.89664088585044,8.07880745873825,0.00447859084611505,0.187349568040065
"Prelid1",1.76913524444956e-07,1.89485797569798,8.04946386940571,0.00455171226668853,0.188077595362906
"Tpi1",1.76903489359507e-07,1.8948023961833,8.04855071404308,0.00455400716717709,0.188077595362906
"H2afz",1.76674954905984e-07,1.89353592779495,8.02776895285567,0.00460655470813068,0.188145086508631
"Rpl37a",1.76644169851917e-07,1.89336522000622,8.02497156971656,0.00461367500846274,0.188145086508631
"Srgn",1.75817552529739e-07,1.88877202067093,7.95004060098043,0.00480862977489987,0.194869721627817
"Siglech",1.75497052100766e-07,1.88698618269365,7.92108252483133,0.00488620277192307,0.196783470640678
"Rps25",1.75047934890593e-07,1.88447901915741,7.88059247188626,0.00499681074461007,0.199899733117145
"Nme2",1.74933952391492e-07,1.88384185061845,7.87033291438631,0.00502524005214291,0.199899733117145
"Pla2g7",1.74588726692393e-07,1.88190986469832,7.83929994274012,0.00511224007621088,0.20212051618385
"mt-Co2",1.74342249391771e-07,1.88052851682451,7.81718115400001,0.00517518509619951,0.203369091901561
"Cd22",1.73858260517882e-07,1.87781123212624,7.77383908221444,0.0053008271558818,0.207051586016491
"Malat1",1.73434914106601e-07,1.87542913970037,7.73602644072502,0.00541297844520061,0.210166181069945
"Jund",1.727958718139e-07,1.87182398979869,7.67912278486629,0.00558633169745189,0.215605801942131
"Otulinl",1.72317022672836e-07,1.86911513403959,7.63662123325368,0.00571949536417272,0.219439100244354
"H2-D1",1.72126173251094e-07,1.86803371317405,7.61971474742167,0.00577336193791301,0.220202816502518
"Akr1a1",1.71898666747842e-07,1.86674324801152,7.5995854552646,0.00583817224970072,0.221335504597725
"Syngr1",1.71783149036862e-07,1.86608745134881,7.58937488460409,0.00587133047359788,0.221335504597725
"Hcst",1.71633819013675e-07,1.86523914581035,7.57618582689774,0.00591444571267774,0.221672057809263
"Zfp36",1.70793200926692e-07,1.86045207291331,7.50215516322712,0.0061625204459049,0.229642428570387
"Gpr34",1.69948683211335e-07,1.85562258708111,7.42814707750964,0.00642114259483765,0.237912506199585
"Rps27a",1.69794792587058e-07,1.85474034724793,7.41470061103776,0.00646930786412463,0.238335182903319
"Junb",1.68767337895856e-07,1.84883257407353,7.32523709868817,0.00679929941047131,0.249077160324836
"Cx3cr1",1.68616493860852e-07,1.8479626626835,7.31214837517748,0.00684899956022039,0.249488276114995
"Rftn1",1.68494360836292e-07,1.84725784185752,7.3015594778993,0.00688947886945747,0.249560787651186
"Gng12",1.68081031980754e-07,1.84486932553559,7.26578090835302,0.00702807041084718,0.253166714132962
"Plaur",1.67843124550311e-07,1.84349225809347,7.24522701361715,0.00710897260161739,0.254666178723133
"Rps15a",1.67532069524211e-07,1.84168928969363,7.21839748474807,0.0072160100648357,0.257080270661509
"Pianp",1.66568659694859e-07,1.83608696789359,7.13561596735417,0.00755676802396335,0.267749092171466
"Rpl12",1.6623581321887e-07,1.83414503202137,7.10712691494781,0.00767780693576191,0.270559240062393
"Rpl29",1.65986468097319e-07,1.83268810441849,7.08582225934491,0.00776961612141775,0.272214775444687
"Abracl",1.6588098040854e-07,1.83207117818872,7.07681876036388,0.00780875204082538,0.272214775444687
"Rps10",1.65577523486137e-07,1.83029460265102,7.05095026903664,0.00792232119864662,0.272338556208565
"Mien1",1.65317463067369e-07,1.82876988691614,7.02881884644392,0.00802082389054836,0.272338556208565
"Btg2",1.65191502139675e-07,1.82803065408519,7.0181119406564,0.00806892697105137,0.272338556208565
"Lpcat2",1.65050209024436e-07,1.82720087025242,7.00611148289097,0.00812319244882714,0.272338556208565
"Rps5",1.65033596332726e-07,1.82710326785743,7.00470119067316,0.00812959418635654,0.272338556208565
"Tpt1",1.65020703004079e-07,1.82702751159927,7.00360674216545,0.00813456577120084,0.272338556208565
"Rpl9",1.64985644943916e-07,1.82682149843561,7.0006312756844,0.00814809769721157,0.272338556208565
"Rpl23a-ps3",1.64985080214677e-07,1.8268181795888,7.00058335085541,0.00814831583967636,0.272338556208565
"Ptgs1",1.64471277182634e-07,1.82379461214581,6.9570482613716,0.00834896604169689,0.277613824689039
"Ftl1",1.64275455194075e-07,1.82264014904231,6.94049178980685,0.00842659420647504,0.278765494055021
"Rps28",1.63431197548416e-07,1.8176494213951,6.8693368350799,0.00876871853150732,0.284885691615444
"Scly",1.63422146983614e-07,1.81759580148257,6.86857602982816,0.00877245243640899,0.284885691615444
"Calm1",1.63350728983231e-07,1.81717259823924,6.86257399414558,0.00880196654901937,0.284885691615444
"Atp6v1f",1.63329046473996e-07,1.81704408259229,6.86075229491567,0.00881094457471175,0.284885691615444
