gene,distance,Z,FC,p.value,p.adj
Rabep2,1.95596344670833e-17,-0.922177234829845,7.62467503009428e-19,0.999999999303292,1
Pex6,1.95582321351612e-17,-0.922184916310127,7.62358176407097e-19,0.999999999303342,1
Ddit3,1.95560265136529e-17,-0.922196998986448,7.62186240746684e-19,0.999999999303421,1
Asb8,1.95529541320107e-17,-0.922213832043241,7.61946770518725e-19,0.99999999930353,1
Zfp948,1.95515788329654e-17,-0.922221367887059,7.61839587961481e-19,0.999999999303579,1
Lactb,1.95514914347361e-17,-0.922221846795855,7.61832776922564e-19,0.999999999303582,1
Nvl,1.95461074436121e-17,-0.922251352925557,7.61413255356168e-19,0.999999999303774,1
Aggf1,1.95437517850784e-17,-0.922264265175495,7.61229738351004e-19,0.999999999303858,1
Ring1,1.95408148014799e-17,-0.922280365957541,7.61000964337522e-19,0.999999999303962,1
Ikzf5,1.95379950234639e-17,-0.922295826372284,7.60781352311538e-19,0.999999999304063,1
Rbm45,1.95373532737799e-17,-0.92229934528446,7.60731375517754e-19,0.999999999304086,1
Bin1,1.95364765197334e-17,-0.922304152975783,7.6066310021588e-19,0.999999999304117,1
Mfsd12,1.95299640350939e-17,-0.922339870680197,7.60156050638623e-19,0.999999999304349,1
Csnk1g2,1.95234855665203e-17,-0.922375413051212,7.5965181721805e-19,0.99999999930458,1
Dgat2,1.95194121614539e-17,-0.92239776642709,7.59334860827882e-19,0.999999999304725,1
Ddx17,1.95174342533219e-17,-0.922408622070889,7.59180981347291e-19,0.999999999304795,1
Inpp5k,1.95173273753848e-17,-0.922409208694534,7.59172666783608e-19,0.999999999304799,1
Ints12,1.95147409926081e-17,-0.92242340556984,7.589714731496e-19,0.999999999304891,1
Eif2ak2,1.95123320219023e-17,-0.922436630222975,7.58784104309033e-19,0.999999999304977,1
Osbpl9,1.9508746798594e-17,-0.922456315083991,7.58505289810833e-19,0.999999999305105,1
Dynlt1c,1.95027555310599e-17,-0.922489218131036,7.58039477182785e-19,0.999999999305318,1
Zfp148,1.95019473099708e-17,-0.922493657482133,7.57976650081655e-19,0.999999999305347,1
Ercc1,1.94949888125647e-17,-0.922531885954779,7.5743583869568e-19,0.999999999305595,1
Fam160a2,1.9494708718951e-17,-0.922533424999592,7.57414073982789e-19,0.999999999305605,1
Rab5b,1.94863725407345e-17,-0.92257923984614,7.56766453252847e-19,0.999999999305902,1
Qars,1.94826863008219e-17,-0.922599505008949,7.56480165095105e-19,0.999999999306033,1
Plekhg5,1.9481318132389e-17,-0.922607027463604,7.56373921435996e-19,0.999999999306082,1
Epn1,1.94811141400055e-17,-0.922608149096173,7.56358081264387e-19,0.999999999306089,1
Prpf6,1.94806708943348e-17,-0.92261058627847,7.56323663455565e-19,0.999999999306105,1
Pvr,1.94799241539685e-17,-0.922614692342729,7.56265681203522e-19,0.999999999306131,1
Pla2g4c,1.94761350402384e-17,-0.922635529659248,7.55971501620832e-19,0.999999999306266,1
Gpx7,1.94742348587422e-17,-0.92264598069871,7.55823996689175e-19,0.999999999306334,1
Atf5,1.94735419541665e-17,-0.922649791929939,7.55770212333333e-19,0.999999999306359,1
Magt1,1.94727548817589e-17,-0.922654121275322,7.55709120842022e-19,0.999999999306387,1
Sirt2,1.94717101211796e-17,-0.922659868308827,7.55628031758999e-19,0.999999999306424,1
Vps45,1.94667848297634e-17,-0.922686965366376,7.55245813911428e-19,0.999999999306599,1
Pdk1,1.94654204580349e-17,-0.922694472766392,7.55139951547875e-19,0.999999999306648,1
Fxr2,1.94621781183457e-17,-0.922712315614477,7.54888406370586e-19,0.999999999306763,1
Pdp1,1.94612133420156e-17,-0.922717625398964,7.54813565783845e-19,0.999999999306798,1
Map3k4,1.94588065371719e-17,-0.922730872683645,7.54626878902857e-19,0.999999999306884,1
Narf,1.94519929387104e-17,-0.922768383825245,7.54098498672447e-19,0.999999999307126,1
B4gat1,1.94489172429529e-17,-0.922785320649528,7.53860045554183e-19,0.999999999307236,1
Keap1,1.94459762414298e-17,-0.922801518137709,7.53632070301587e-19,0.999999999307341,1
Fam91a1,1.94456514044106e-17,-0.922803307311717,7.53606892285576e-19,0.999999999307352,1
Ccdc163,1.94419677936993e-17,-0.92282359830539,7.5332140619586e-19,0.999999999307483,1
